,x,y,length,width,area
110,916,351,1,1,1
111,935,351,1,1,1
112,1021,351,1,1,1
113,1023,351,3,1,3
114,1474,351,1,1,1
115,1479,350,1,1,1
116,779,353,1,1,1
117,781,353,11,1,11
118,1008,352,1,1,1
119,944,354,3,1,3
120,320,356,4,1,4
121,341,356,1,1,1
122,445,356,1,1,1
123,1296,357,1,1,1
124,355,359,5,1,5
125,367,359,1,1,1
126,467,359,1,1,1
127,1408,359,4,1,4
128,1424,358,1,1,1
129,349,360,3,1,3
130,1400,361,1,1,1
131,535,363,1,1,1
132,1234,362,1,1,1
133,1373,363,1,1,1
134,1392,363,1,1,1
135,384,364,2,1,2
136,387,364,4,1,4
137,396,364,4,2,4
138,404,365,1,1,1
139,1234,364,1,1,1
140,1377,364,1,1,1
141,304,367,4,2,5
142,399,366,1,1,1
143,414,366,4,2,6
144,419,367,6,3,10
145,1159,367,1,1,1
146,1315,367,1,1,1
147,1333,367,1,1,1
148,1344,366,1,2,2
149,565,368,3,1,3
150,576,368,2,1,2
151,586,369,1,2,2
152,1200,368,1,1,1
153,1335,368,1,1,1
154,304,371,4,1,4
155,324,371,1,1,1
156,430,371,1,1,1
157,436,371,1,1,1
158,448,371,1,1,1
159,453,371,2,1,2
160,584,370,1,1,1
161,596,371,1,1,1
162,608,371,2,1,2
163,666,371,1,1,1
164,1152,371,5,1,5
165,1164,370,2,1,2
166,1300,371,2,1,2
167,1305,371,2,1,2
168,1320,370,1,2,2
169,457,372,1,1,1
170,1047,372,1,1,1
171,1274,372,3,2,3
172,335,375,1,1,1
173,460,374,1,1,1
174,462,374,2,1,2
175,472,374,4,2,5
176,485,375,3,3,6
177,912,375,1,1,1
178,990,375,2,1,2
179,1274,375,2,1,2
180,504,376,3,2,5
181,700,376,2,1,2
182,742,376,1,1,1
183,744,376,4,2,6
184,998,376,2,1,2
185,1020,376,2,1,2
186,1238,376,1,2,2
187,531,379,1,1,1
188,742,379,1,1,1
189,879,379,1,1,1
190,1215,379,1,1,1
191,1219,378,1,1,1
192,396,380,1,1,1
193,400,380,1,1,1
194,546,381,1,1,1
195,576,381,1,1,1
196,579,380,1,1,1
197,416,383,1,1,1
198,554,383,2,1,2
199,583,382,8,2,8
200,592,383,5,1,5
201,1130,383,1,1,1
202,1136,383,6,1,6
203,1145,383,1,1,1
204,399,384,1,1,1
205,407,384,1,1,1
206,410,384,1,1,1
